REPOSITORY                                      TAG                                        IMAGE ID       CREATED              SIZE
mongo                                           <none>                                     8853c158df69   10 months ago        388MB
rocket.chat                                     4.6.3                                      d55bb2f4cfc3   10 months ago        878MB
registry.rocket.chat/rocketchat/rocket.chat     4.6.3                                      93d1a291fe9f   10 months ago        953MB
wordpress                                       latest                                     744143078625   10 months ago        605MB
grafana/grafana                                 latest                                     7a414d9a5e42   10 months ago        279MB
hub.invitor.com/landing                         20220330-163109                            90105ca7199e   10 months ago        25.8MB
mysql                                           5.7                                        f26e21ddd20d   10 months ago        450MB
hub.invitor.com/invitor_metrics                 20220328-170950                            8cfd84211e4b   10 months ago        155MB
hub.invitor.com/invitor_metrics                 latest                                     8cfd84211e4b   10 months ago        155MB
restic/restic                                   0.13.0                                     06f88aa692c5   11 months ago        31.6MB
prom/alertmanager                               latest                                     e556bd45e16c   11 months ago        59.7MB
italux/sentry-prometheus-exporter               latest                                     c0f272029c58   11 months ago        137MB
prom/prometheus                                 latest                                     e3cf894a63f5   11 months ago        205MB
overv/openstreetmap-tile-server                 latest                                     433af03d75fc   11 months ago        1.13GB
overv/openstreetmap-tile-server                 v1.8.2                                     433af03d75fc   11 months ago        1.13GB
ubuntu                                          latest                                     2b4cba85892a   11 months ago        72.8MB
routersploit                                    latest                                     cadc0216500d   11 months ago        966MB
hub.invitor.com/livekit-demo                    1                                          3a388b72f3ef   11 months ago        37MB
redis                                           latest                                     8f8e3073a3f6   11 months ago        113MB
livekit/generate                                latest                                     7f7d61fb40af   11 months ago        20MB
livekit/livekit-server                          latest                                     af8368c05c19   11 months ago        34.7MB
hub.invitor.com/invitor_backend_base            21022022                                   ea88835eb97e   12 months ago        1.38GB
postgis/postgis                                 <none>                                     c76e507cfe1b   12 months ago        818MB
hub.invitor.com/invitor_site                    develop-20220213-1                         3d118e53daa5   12 months ago        32.5MB
postgres                                        9.6                                        027ccf656dc1   12 months ago        200MB
busybox                                         latest                                     ec3f0931a6e6   12 months ago        1.24MB
neilpang/acme.sh                                latest                                     2d32060b1d90   12 months ago        28.4MB
elasticdump/elasticsearch-dump                  latest                                     1edb80ef57d2   12 months ago        269MB
hub.invitor.com/landing                         20220127-143538                            25c9f2126d42   12 months ago        25.9MB
nginx                                           latest                                     c316d5a335a5   13 months ago        141MB
httpd                                           2                                          a8ea074f4566   13 months ago        144MB
yandex/clickhouse-server                        21-alpine                                  e9ad1a7f0693   13 months ago        693MB
docker.elastic.co/elasticsearch/elasticsearch   7.16.3                                     3a5e93284781   13 months ago        611MB
docker.elastic.co/kibana/kibana                 7.16.3                                     df64a680d590   13 months ago        1.3GB
python                                          3.6                                        54260638d07c   14 months ago        902MB
redis                                           6-alpine                                   3900abf41552   14 months ago        32.4MB
alpine                                          latest                                     c059bfaa849c   15 months ago        5.58MB
envoyproxy/envoy-dev                            3975bf5dadb43421907bbc52df57c0e8539c9a06   fcd0e861dc78   16 months ago        126MB
envoyproxy/envoy-dev                            latest                                     fcd0e861dc78   16 months ago        126MB
confluentinc/cp-kafka                           5.5.0                                      efc480c1c89c   16 months ago        598MB
confluentinc/cp-zookeeper                       5.5.0                                      ddeb961d8e80   16 months ago        598MB
jaegertracing/all-in-one                        1.27                                       97295a1837ab   16 months ago        59.1MB
rocket.chat                                     4.0.0                                      8afd7480e3aa   16 months ago        828MB
hello-world                                     latest                                     feb5d9fea6a5   17 months ago        13.3kB
redis                                           6.2.4-alpine                               500703a12fa4   19 months ago        32.3MB
memcached                                       1.6.9-alpine                               a0132b3398e4   20 months ago        8.08MB
